participant_id,code_number,code_type,expected_output,participant_output,time_in_seconds,experience_level,learn_place,gender,job_title
OCAWjTH2819v,0,2,ThisIsATestString,ThisIsATestString,88,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
OCAWjTH2819v,1,2,18,18,54,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
OCAWjTH2819v,2,0,['is':'snake':'shoe'],['is':'snake':'shoe'],134,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
OCAWjTH2819v,3,1,5,5,76,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
OCAWjTH2819v,4,2,8,KeyError,154,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
OCAWjTH2819v,5,0,['riddle': 'nothing': 'all': 'questions'],[],117,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
OCAWjTH2819v,6,1,False,False,64,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
oBkv8g974gNW,0,2,ThisIsATestString,This Is A Test String,42,6-10,Army:University or college,Female,Manager
oBkv8g974gNW,1,1,18,18,18,6-10,Army:University or college,Female,Manager
oBkv8g974gNW,2,2,['is':'snake':'shoe'],['is': 'snake': 'shoe'],75,6-10,Army:University or college,Female,Manager
oBkv8g974gNW,3,0,5,5,72,6-10,Army:University or college,Female,Manager
oBkv8g974gNW,4,1,8,8,48,6-10,Army:University or college,Female,Manager
oBkv8g974gNW,5,2,['riddle': 'nothing': 'all': 'questions'],['riddle': 'all'],58,6-10,Army:University or college,Female,Manager
oBkv8g974gNW,6,0,False,False,38,6-10,Army:University or college,Female,Manager
fLpq435b8YIj,0,2,ThisIsATestString,ThisIsATestString,65,2-5,Army:Online course:Highschool,Male,Developer
fLpq435b8YIj,1,0,18,18,10,2-5,Army:Online course:Highschool,Male,Developer
fLpq435b8YIj,2,1,['is':'snake':'shoe'],['is':'snake':'shoe'],80,2-5,Army:Online course:Highschool,Male,Developer
fLpq435b8YIj,3,2,5,5,107,2-5,Army:Online course:Highschool,Male,Developer
fLpq435b8YIj,4,0,8,8,50,2-5,Army:Online course:Highschool,Male,Developer
fLpq435b8YIj,5,1,['riddle': 'nothing': 'all': 'questions'],["riddle":"all"],81,2-5,Army:Online course:Highschool,Male,Developer
fLpq435b8YIj,6,2,False,False,30,2-5,Army:Online course:Highschool,Male,Developer
x31kVVoa4DN8,0,2,ThisIsATestString,ThisIsATestString,69,2-5,University or college:Online course:Coding bootcamp:Highschool,Male,Algorithm
x31kVVoa4DN8,1,0,18,18,41,2-5,University or college:Online course:Coding bootcamp:Highschool,Male,Algorithm
x31kVVoa4DN8,2,1,['is':'snake':'shoe'],['there': 'a': 'in': 'my'],119,2-5,University or college:Online course:Coding bootcamp:Highschool,Male,Algorithm
x31kVVoa4DN8,4,0,8,error,108,2-5,University or college:Online course:Coding bootcamp:Highschool,Male,Algorithm
x31kVVoa4DN8,5,1,['riddle': 'nothing': 'all': 'questions'],['riddle': 'all'],75,2-5,University or college:Online course:Coding bootcamp:Highschool,Male,Algorithm
x31kVVoa4DN8,6,2,False,False,47,2-5,University or college:Online course:Coding bootcamp:Highschool,Male,Algorithm
9WrE7c6ALT8S,1,2,18,18,725,>10,Highschool,Male,Manager
9WrE7c6ALT8S,2,0,['is':'snake':'shoe'],[' is ': ' snake ': ' shoe '],371,>10,Highschool,Male,Manager
9WrE7c6ALT8S,3,1,5,5,445,>10,Highschool,Male,Manager
9WrE7c6ALT8S,4,2,8,8,198,>10,Highschool,Male,Manager
9WrE7c6ALT8S,5,0,['riddle': 'nothing': 'all': 'questions'],[' all '],263,>10,Highschool,Male,Manager
9WrE7c6ALT8S,6,1,False,False,348,>10,Highschool,Male,Manager
q8xu60xBc8Ow,0,2,ThisIsATestString,ThisIsATestString,76,>10,University or college,Male,Algorithm
q8xu60xBc8Ow,1,1,18,18,43,>10,University or college,Male,Algorithm
q8xu60xBc8Ow,2,2,['is':'snake':'shoe'],[' is ': ' snake ': ' shoe '],119,>10,University or college,Male,Algorithm
q8xu60xBc8Ow,3,0,5,5,37,>10,University or college,Male,Algorithm
q8xu60xBc8Ow,4,1,8,8,27,>10,University or college,Male,Algorithm
q8xu60xBc8Ow,5,2,['riddle': 'nothing': 'all': 'questions'],[' all '],40,>10,University or college,Male,Algorithm
q8xu60xBc8Ow,6,0,False,False,63,>10,University or college,Male,Algorithm
j5zZeZ46oVF0,0,2,ThisIsATestString,ThisIsATestString,85,2-5,University or college:Online course:Highschool,Female,Researcher (Industry)
j5zZeZ46oVF0,1,0,18,18,36,2-5,University or college:Online course:Highschool,Female,Researcher (Industry)
j5zZeZ46oVF0,2,1,['is':'snake':'shoe'],[‘is’:‘snake’:’shoe’],119,2-5,University or college:Online course:Highschool,Female,Researcher (Industry)
j5zZeZ46oVF0,3,2,5,4.24,98,2-5,University or college:Online course:Highschool,Female,Researcher (Industry)
j5zZeZ46oVF0,4,0,8,8,42,2-5,University or college:Online course:Highschool,Female,Researcher (Industry)
j5zZeZ46oVF0,5,1,['riddle': 'nothing': 'all': 'questions'],[‘riddle’:’all’],59,2-5,University or college:Online course:Highschool,Female,Researcher (Industry)
j5zZeZ46oVF0,6,2,False,False,50,2-5,University or college:Online course:Highschool,Female,Researcher (Industry)
LaVWtV18YL06,0,2,ThisIsATestString,ThisIsATestString,57,>10,Army:University or college:Online course:Highschool,Male,Algorithm
LaVWtV18YL06,1,2,18,18,53,>10,Army:University or college:Online course:Highschool,Male,Algorithm
LaVWtV18YL06,2,0,['is':'snake':'shoe'],['is':'snake':'shoe'],95,>10,Army:University or college:Online course:Highschool,Male,Algorithm
LaVWtV18YL06,3,1,5,5,66,>10,Army:University or college:Online course:Highschool,Male,Algorithm
LaVWtV18YL06,4,2,8,8,57,>10,Army:University or college:Online course:Highschool,Male,Algorithm
LaVWtV18YL06,5,0,['riddle': 'nothing': 'all': 'questions'],['riddle':'all'],91,>10,Army:University or college:Online course:Highschool,Male,Algorithm
LaVWtV18YL06,6,1,False,False,52,>10,Army:University or college:Online course:Highschool,Male,Algorithm
p5S2W9lS4SFz,0,2,ThisIsATestString,ThisIsATestString,104,>10,None,None,None
p5S2W9lS4SFz,1,1,18,18,29,>10,None,None,None
p5S2W9lS4SFz,2,2,['is':'snake':'shoe'],['is': 'snake': 'shoe'],145,>10,None,None,None
p5S2W9lS4SFz,3,0,5,5,74,>10,None,None,None
nJpP7m5KuK26,0,2,ThisIsATestString,ThisIsATestString,76,2-5,Coding bootcamp,Male,Algorithm
g7OKy7Cs7P5e,0,2,ThisIsATestString,This Is A Test String ,89,6-10,None,None,None
g7OKy7Cs7P5e,1,0,18,18,28,6-10,None,None,None
g7OKy7Cs7P5e,2,1,['is':'snake':'shoe'],Is snake shoe,84,6-10,None,None,None
nJpP7m5KuK26,1,0,18,18,44,2-5,Coding bootcamp,Male,Algorithm
nJpP7m5KuK26,2,1,['is':'snake':'shoe'],['is':'snake':'shoe'],86,2-5,Coding bootcamp,Male,Algorithm
nJpP7m5KuK26,3,2,5,5,78,2-5,Coding bootcamp,Male,Algorithm
nJpP7m5KuK26,4,0,8,8,138,2-5,Coding bootcamp,Male,Algorithm
nJpP7m5KuK26,5,1,['riddle': 'nothing': 'all': 'questions'],['riddle': 'nothing': 'all': 'questions'],72,2-5,Coding bootcamp,Male,Algorithm
nJpP7m5KuK26,6,2,False,False,88,2-5,Coding bootcamp,Male,Algorithm
b6bf6b7CvD9l,0,2,ThisIsATestString,This Is A Test String,40,0-1,University or college,Male,Student
b6bf6b7CvD9l,1,2,18,36,21,0-1,University or college,Male,Student
b6bf6b7CvD9l,2,0,['is':'snake':'shoe'],['is': 'snake': 'shoe'],70,0-1,University or college,Male,Student
b6bf6b7CvD9l,3,1,5,5,36,0-1,University or college,Male,Student
b6bf6b7CvD9l,4,2,8,8,41,0-1,University or college,Male,Student
b6bf6b7CvD9l,5,0,['riddle': 'nothing': 'all': 'questions'],['this': 'has': 'nothing': 'to': 'do': 'with': 'the': 'other': 'question'],131,0-1,University or college,Male,Student
b6bf6b7CvD9l,6,1,False,False,48,0-1,University or college,Male,Student
hqzM4c9b30BJ,0,2,ThisIsATestString,ThisIsATestString,76,2-5,University or college:Online course:Coding bootcamp,Male,Developer
hqzM4c9b30BJ,1,2,18,18,61,2-5,University or college:Online course:Coding bootcamp,Male,Developer
hqzM4c9b30BJ,2,0,['is':'snake':'shoe'],['is':snake:shoe],99,2-5,University or college:Online course:Coding bootcamp,Male,Developer
hqzM4c9b30BJ,3,1,5,5,92,2-5,University or college:Online course:Coding bootcamp,Male,Developer
hqzM4c9b30BJ,4,2,8,8,67,2-5,University or college:Online course:Coding bootcamp,Male,Developer
hqzM4c9b30BJ,5,0,['riddle': 'nothing': 'all': 'questions'],Riddle:all,69,2-5,University or college:Online course:Coding bootcamp,Male,Developer
c4W6E91XdDRD,0,2,ThisIsATestString,ThisIsATestString,383,0-1,University or college:Online course,Female,Student
hqzM4c9b30BJ,6,1,False,False ,48,2-5,University or college:Online course:Coding bootcamp,Male,Developer
c4W6E91XdDRD,1,2,18,15,108,0-1,University or college:Online course,Female,Student
c4W6E91XdDRD,2,0,['is':'snake':'shoe'],['is':'snake':'shoe'],174,0-1,University or college:Online course,Female,Student
c4W6E91XdDRD,3,1,5,5,73,0-1,University or college:Online course,Female,Student
c4W6E91XdDRD,4,2,8,8,217,0-1,University or college:Online course,Female,Student
c4W6E91XdDRD,5,0,['riddle': 'nothing': 'all': 'questions'],['riddle':'all',117,0-1,University or college:Online course,Female,Student
c4W6E91XdDRD,6,1,False,False,73,0-1,University or college:Online course,Female,Student
g9RHD871MCye,0,2,ThisIsATestString,This_Is_A_Test_String,58,>10,None,None,None
g9RHD871MCye,1,1,18,18,45,>10,None,None,None
g9RHD871MCye,2,2,['is':'snake':'shoe'],["is": "snake": "shoe"],90,>10,None,None,None
0f6NDlbRGq43,0,2,ThisIsATestString,ThisIsATestString,65,2-5,University or college,Female,Algorithm
0f6NDlbRGq43,1,2,18,18,32,2-5,University or college,Female,Algorithm
0f6NDlbRGq43,2,0,['is':'snake':'shoe'],['is':'snake':'shoe'],87,2-5,University or college,Female,Algorithm
g9RHD871MCye,3,0,5,-25,146,>10,None,None,None
0f6NDlbRGq43,3,1,5,5,74,2-5,University or college,Female,Algorithm
0f6NDlbRGq43,4,2,8,8,93,2-5,University or college,Female,Algorithm
pwjc9kt629lY,0,2,ThisIsATestString,ThisIsATestString,106,2-5,University or college:Online course:Highschool,Female,Algorithm
0f6NDlbRGq43,5,0,['riddle': 'nothing': 'all': 'questions'],['riddle':'all'],83,2-5,University or college,Female,Algorithm
pwjc9kt629lY,1,1,18,18,43,2-5,University or college:Online course:Highschool,Female,Algorithm
0f6NDlbRGq43,6,1,False,False,56,2-5,University or college,Female,Algorithm
pwjc9kt629lY,2,2,['is':'snake':'shoe'],['is': 'snake': 'shoe'],132,2-5,University or college:Online course:Highschool,Female,Algorithm
pwjc9kt629lY,3,0,5,5,115,2-5,University or college:Online course:Highschool,Female,Algorithm
pwjc9kt629lY,4,1,8,8,103,2-5,University or college:Online course:Highschool,Female,Algorithm
pwjc9kt629lY,6,0,False,False,46,2-5,University or college:Online course:Highschool,Female,Algorithm
P9c7VD61LBJS,0,2,ThisIsATestString,ThisIsATestString,29,2-5,Army:University or college:Highschool,Male,Developer
P9c7VD61LBJS,1,0,18,18,13,2-5,Army:University or college:Highschool,Male,Developer
P9c7VD61LBJS,2,1,['is':'snake':'shoe'],syntax error,24,2-5,Army:University or college:Highschool,Male,Developer
P9c7VD61LBJS,3,2,5,5,41,2-5,Army:University or college:Highschool,Male,Developer
P9c7VD61LBJS,4,0,8,8,35,2-5,Army:University or college:Highschool,Male,Developer
P9c7VD61LBJS,5,1,['riddle': 'nothing': 'all': 'questions'],['riddle': 'all'],63,2-5,Army:University or college:Highschool,Male,Developer
P9c7VD61LBJS,6,2,False,False,36,2-5,Army:University or college:Highschool,Male,Developer
79miMf2my2IZ,0,2,ThisIsATestString,ThisIsATestString,58,>10,Army:Highschool,Male,Student
79miMf2my2IZ,1,1,18,18,20,>10,Army:Highschool,Male,Student
79miMf2my2IZ,2,2,['is':'snake':'shoe'],[‘is’:’snake’:’shoe’],98,>10,Army:Highschool,Male,Student
79miMf2my2IZ,3,0,5,5,29,>10,Army:Highschool,Male,Student
79miMf2my2IZ,4,1,8,8,38,>10,Army:Highschool,Male,Student
79miMf2my2IZ,5,2,['riddle': 'nothing': 'all': 'questions'],[‘riddle’:’all’],52,>10,Army:Highschool,Male,Student
79miMf2my2IZ,6,0,False,False,39,>10,Army:Highschool,Male,Student
Y2pgsA82eD3J,0,2,ThisIsATestString,This Is A Test String,119,0-1,University or college:Online course,Female,Student
Y2pgsA82eD3J,1,2,18,18,28,0-1,University or college:Online course,Female,Student
Y2pgsA82eD3J,2,0,['is':'snake':'shoe'],is snake shoe,87,0-1,University or college:Online course,Female,Student
Y2pgsA82eD3J,3,1,5,5,81,0-1,University or college:Online course,Female,Student
Y2pgsA82eD3J,4,2,8,8,68,0-1,University or college:Online course,Female,Student
Y2pgsA82eD3J,5,0,['riddle': 'nothing': 'all': 'questions'],riddle all ,47,0-1,University or college:Online course,Female,Student
Y2pgsA82eD3J,6,1,False,False,68,0-1,University or college:Online course,Female,Student
lD83ZaB8o3CJ,0,2,ThisIsATestString,ThisIsATestString,84,>10,None,None,None
l62Q5TTNCt7t,0,2,ThisIsATestString,ThisIsATestString,87,0-1,Army:University or college,Female,Student
l62Q5TTNCt7t,1,0,18,18,27,0-1,Army:University or college,Female,Student
l62Q5TTNCt7t,2,1,['is':'snake':'shoe'],[False: True: False: True: False: False: True],85,0-1,Army:University or college,Female,Student
l62Q5TTNCt7t,3,2,5,5,137,0-1,Army:University or college,Female,Student
l62Q5TTNCt7t,4,0,8,8,72,0-1,Army:University or college,Female,Student
l62Q5TTNCt7t,5,1,['riddle': 'nothing': 'all': 'questions'],['riddle': 'all'],110,0-1,Army:University or college,Female,Student
l62Q5TTNCt7t,6,2,False,False,45,0-1,Army:University or college,Female,Student
7ayJ10HZLN5z,0,2,ThisIsATestString,ThisIsATestString,170,2-5,Highschool,Male,Algorithm
7ayJ10HZLN5z,1,1,18,18,58,2-5,Highschool,Male,Algorithm
7ayJ10HZLN5z,2,2,['is':'snake':'shoe'],['is': 'snake': 'shoe'],214,2-5,Highschool,Male,Algorithm
7ayJ10HZLN5z,3,0,5,5,95,2-5,Highschool,Male,Algorithm
7ayJ10HZLN5z,4,1,8,8,82,2-5,Highschool,Male,Algorithm
7ayJ10HZLN5z,5,2,['riddle': 'nothing': 'all': 'questions'],['riddle': 'all'],214,2-5,Highschool,Male,Algorithm
7ayJ10HZLN5z,6,0,False,False,90,2-5,Highschool,Male,Algorithm
w8K5NGsza28I,0,2,ThisIsATestString,This Is A Test String,79,2-5,None,None,None
w8K5NGsza28I,1,1,18,18,38,2-5,None,None,None
w8K5NGsza28I,2,2,['is':'snake':'shoe'],[‘is’: ‘snake’: ‘shoe’],123,2-5,None,None,None
K0QLBSVf8V18,0,2,ThisIsATestString,ThisIsATestString,131,2-5,None,None,None
K0QLBSVf8V18,1,0,18,18,35,2-5,None,None,None
K0QLBSVf8V18,2,1,['is':'snake':'shoe'],is: snake: shoe,73,2-5,None,None,None
cB37a74SplUV,0,2,ThisIsATestString,ThisIsATestString,124,2-5,University or college,Male,Algorithm
cB37a74SplUV,1,2,18,18,40,2-5,University or college,Male,Algorithm
cB37a74SplUV,2,0,['is':'snake':'shoe'],['is': 'snake': 'show'],75,2-5,University or college,Male,Algorithm
cB37a74SplUV,3,1,5,5,61,2-5,University or college,Male,Algorithm
cB37a74SplUV,4,2,8,8,71,2-5,University or college,Male,Algorithm
cB37a74SplUV,5,0,['riddle': 'nothing': 'all': 'questions'],['riddle': 'all'],67,2-5,University or college,Male,Algorithm
cB37a74SplUV,6,1,False,False,48,2-5,University or college,Male,Algorithm
tb53c4XiEN4Q,0,2,ThisIsATestString,ThisIsATestString,34,6-10,Highschool,Male,Algorithm
tb53c4XiEN4Q,1,1,18,18,35,6-10,Highschool,Male,Algorithm
tb53c4XiEN4Q,2,2,['is':'snake':'shoe'],['snake':'shoe'],252,6-10,Highschool,Male,Algorithm
tb53c4XiEN4Q,3,0,5,5,134,6-10,Highschool,Male,Algorithm
tb53c4XiEN4Q,4,1,8,8,131,6-10,Highschool,Male,Algorithm
tb53c4XiEN4Q,5,2,['riddle': 'nothing': 'all': 'questions'],[],199,6-10,Highschool,Male,Algorithm
tb53c4XiEN4Q,6,0,False,False,95,6-10,Highschool,Male,Algorithm
JFCbI82Q58Ch,0,2,ThisIsATestString,This Is A Test String,180,6-10,University or college,Female,Student
JFCbI82Q58Ch,1,2,18,18,93,6-10,University or college,Female,Student
JFCbI82Q58Ch,2,0,['is':'snake':'shoe'],['is': 'snake': 'shoe'],91,6-10,University or college,Female,Student
JFCbI82Q58Ch,3,1,5,5,57,6-10,University or college,Female,Student
JFCbI82Q58Ch,4,2,8,8,114,6-10,University or college,Female,Student
JFCbI82Q58Ch,5,0,['riddle': 'nothing': 'all': 'questions'],['riddle':'all'],77,6-10,University or college,Female,Student
JFCbI82Q58Ch,6,1,False,False,57,6-10,University or college,Female,Student
ZtE757G2oCqC,0,2,ThisIsATestString,This Is A Test String,29,2nd+ year student with no industry experience,None,None,None
ZtE757G2oCqC,1,2,18,18,29,2nd+ year student with no industry experience,None,None,None
NBCh78UGw5A0,0,2,ThisIsATestString,This Is A Test String,45,>10,University or college,Male,Developer
NBCh78UGw5A0,1,2,18,18,21,>10,University or college,Male,Developer
NBCh78UGw5A0,2,0,['is':'snake':'shoe'],['is': 'snake': 'shoe'],57,>10,University or college,Male,Developer
NBCh78UGw5A0,3,1,5,5,58,>10,University or college,Male,Developer
NBCh78UGw5A0,4,2,8,8,57,>10,University or college,Male,Developer
NBCh78UGw5A0,5,0,['riddle': 'nothing': 'all': 'questions'],['riddle': 'all'],54,>10,University or college,Male,Developer
NBCh78UGw5A0,6,1,False,False,43,>10,University or college,Male,Developer
KP4Kj74Aifz1,0,2,ThisIsATestString,THIShisISsATESTestSTRINGtring,89,6-10,University or college,Female,Researcher (Academy)
KP4Kj74Aifz1,1,0,18,18,39,6-10,University or college,Female,Researcher (Academy)
KP4Kj74Aifz1,2,1,['is':'snake':'shoe'],['is': 'snake': 'shoe'],93,6-10,University or college,Female,Researcher (Academy)
KP4Kj74Aifz1,3,2,5,5,78,6-10,University or college,Female,Researcher (Academy)
KP4Kj74Aifz1,4,0,8,8,92,6-10,University or college,Female,Researcher (Academy)
KP4Kj74Aifz1,5,1,['riddle': 'nothing': 'all': 'questions'],['riddle': 'all'],78,6-10,University or college,Female,Researcher (Academy)
KP4Kj74Aifz1,6,2,False,False,53,6-10,University or college,Female,Researcher (Academy)
kDG39t5EKSf1,0,2,ThisIsATestString,This Is  A Test String,71,>10,Army,Male,Researcher (Academy)
kDG39t5EKSf1,1,2,18,18,53,>10,Army,Male,Researcher (Academy)
kDG39t5EKSf1,2,0,['is':'snake':'shoe'],['is':'shake':'shoe'],126,>10,Army,Male,Researcher (Academy)
kDG39t5EKSf1,3,1,5,5,46,>10,Army,Male,Researcher (Academy)
kDG39t5EKSf1,4,2,8,8,83,>10,Army,Male,Researcher (Academy)
kDG39t5EKSf1,5,0,['riddle': 'nothing': 'all': 'questions'],['riddle': 'all'],95,>10,Army,Male,Researcher (Academy)
kDG39t5EKSf1,6,1,False,False,41,>10,Army,Male,Researcher (Academy)
h9x9y4VoGMZ8,0,2,ThisIsATestString,ThisIsATestString,139,>10,University or college,Male,Algorithm
h9x9y4VoGMZ8,1,1,18,18,94,>10,University or college,Male,Algorithm
h9x9y4VoGMZ8,2,2,['is':'snake':'shoe'],['is': 'snake': 'shoe'],256,>10,University or college,Male,Algorithm
h9x9y4VoGMZ8,3,0,5,5,158,>10,University or college,Male,Algorithm
h9x9y4VoGMZ8,4,1,8,{1: 2: 4: 8},153,>10,University or college,Male,Algorithm
h9x9y4VoGMZ8,5,2,['riddle': 'nothing': 'all': 'questions'],['riddle': 'all'],134,>10,University or college,Male,Algorithm
h9x9y4VoGMZ8,6,0,False,False,125,>10,University or college,Male,Algorithm
yRV4H5D7tP0r,0,2,ThisIsATestString,This Is A Test String,79,>10,University or college,Male,Developer
yRV4H5D7tP0r,1,0,18,18,40,>10,University or college,Male,Developer
yRV4H5D7tP0r,2,1,['is':'snake':'shoe'],is snake shoe,58,>10,University or college,Male,Developer
yRV4H5D7tP0r,3,2,5,5,79,>10,University or college,Male,Developer
yRV4H5D7tP0r,4,0,8,8,63,>10,University or college,Male,Developer
yRV4H5D7tP0r,5,1,['riddle': 'nothing': 'all': 'questions'],riddle all,126,>10,University or college,Male,Developer
yRV4H5D7tP0r,6,2,False,False,90,>10,University or college,Male,Developer
